Generator,name,busmap
5090 offwind-ac,5090,off_NL_13
5090 offwind-float,5090,off_NL_13
5742 offwind-ac,5742,off_DE_1
5742 offwind-float,5742,off_DE_1
5742 offwind-dc,5742,off_DE_1
5780 offwind-ac,5780,off_DE_1
5780 offwind-float,5780,off_DE_1
5781 offwind-ac,5781,off_DE_1
5781 offwind-float,5781,off_DE_1
5782 offwind-ac,5782,off_DE_1
5782 offwind-float,5782,off_DE_1
5783 offwind-ac,5783,off_DE_1
5783 offwind-float,5783,off_DE_1
5854 offwind-ac,5854,off_DE_1
5854 offwind-float,5854,off_DE_1
5856 offwind-ac,5856,off_DE_1
5863 offwind-ac,5863,off_DE_1
5863 offwind-float,5863,off_DE_1
5743 offwind-ac,5743,off_DE_5
5743 offwind-float,5743,off_DE_5
5743 offwind-dc,5743,off_DE_5
5744 offwind-ac,5744,off_DE_8
5744 offwind-float,5744,off_DE_8
5744 offwind-dc,5744,off_DE_8
5745 offwind-ac,5745,off_DE_8
5745 offwind-float,5745,off_DE_8
5745 offwind-dc,5745,off_DE_8
5768 offwind-ac,5768,off_DE_8
5768 offwind-float,5768,off_DE_8
5768 offwind-dc,5768,off_DE_8
5769 offwind-ac,5769,off_DE_8
5769 offwind-float,5769,off_DE_8
5772 offwind-ac,5772,off_DE_8
5772 offwind-float,5772,off_DE_8
5737 offwind-ac,5737,off_DE_9
5737 offwind-float,5737,off_DE_9
5737 offwind-dc,5737,off_DE_9
5064 offwind-ac,5064,off_BE_1
5064 offwind-float,5064,off_BE_1
5064 offwind-dc,5064,off_BE_1
5065 offwind-ac,5065,off_BE_1
5065 offwind-float,5065,off_BE_1
5066 offwind-ac,5066,off_BE_1
5066 offwind-float,5066,off_BE_1
5067 offwind-ac,5067,off_BE_1
5067 offwind-float,5067,off_BE_1
5069 offwind-ac,5069,off_BE_1
5069 offwind-float,5069,off_BE_1
5070 offwind-ac,5070,off_BE_1
5070 offwind-float,5070,off_BE_1
5071 offwind-ac,5071,off_BE_1
5071 offwind-float,5071,off_BE_1
7024 offwind-ac,7024,off_BE_1
7024 offwind-float,7024,off_BE_1
off_DK_1 offwind-ac,off_DK_1,off_DK_1
off_DK_1 offwind-float,off_DK_1,off_DK_1
off_DK_1 offwind-dc,off_DK_1,off_DK_1
off_DK_3 offwind-ac,off_DK_3,off_DK_3
off_DK_3 offwind-float,off_DK_3,off_DK_3
off_DK_3 offwind-dc,off_DK_3,off_DK_3
off_DK_7 offwind-ac,off_DK_7,off_DK_7
off_DK_7 offwind-float,off_DK_7,off_DK_7
off_DK_7 offwind-dc,off_DK_7,off_DK_7
5803 offwind-ac,5803,off_DK_9
5803 offwind-float,5803,off_DK_9
5803 offwind-dc,5803,off_DK_9
6388 offwind-ac,6388,off_DK_11
6388 offwind-float,6388,off_DK_11
6398 offwind-ac,6398,off_DK_11
6398 offwind-float,6398,off_DK_11
6749 offwind-ac,6749,off_NO_1
6749 offwind-float,6749,off_NO_1
6749 offwind-dc,6749,off_NO_1
6363 offwind-ac,6363,off_NO_4
6363 offwind-float,6363,off_NO_4
6690 offwind-ac,6690,off_NO_6
6690 offwind-float,6690,off_NO_6
6694 offwind-ac,6694,off_NO_6
6694 offwind-float,6694,off_NO_6
6752 offwind-ac,6752,off_NO_6
6752 offwind-float,6752,off_NO_6
6754 offwind-ac,6754,off_NO_6
6754 offwind-float,6754,off_NO_6
6743 offwind-ac,6743,off_NO_11
6743 offwind-float,6743,off_NO_11
6745 offwind-ac,6745,off_NO_11
6745 offwind-float,6745,off_NO_11
6744 offwind-ac,6744,off_NO_11
6744 offwind-float,6744,off_NO_11
6746 offwind-ac,6746,off_NO_11
6746 offwind-float,6746,off_NO_11
off_NO_13 offwind-ac,off_NO_13,off_NO_13
off_NO_13 offwind-float,off_NO_13,off_NO_13
off_NO_13 offwind-dc,off_NO_13,off_NO_13
6356 offwind-ac,6356,off_NO_15
6356 offwind-float,6356,off_NO_15
6656 offwind-ac,6656,off_NO_25
6656 offwind-float,6656,off_NO_25
6674 offwind-ac,6674,off_NO_25
6674 offwind-float,6674,off_NO_25
6747 offwind-ac,6747,off_NO_25
6747 offwind-float,6747,off_NO_25
6748 offwind-ac,6748,off_NO_25
6748 offwind-float,6748,off_NO_25
6036 offwind-ac,6036,off_GB_2
6037 offwind-ac,6037,off_GB_2
6037 offwind-float,6037,off_GB_2
6037 offwind-dc,6037,off_GB_2
6042 offwind-ac,6042,off_GB_2
6042 offwind-float,6042,off_GB_2
off_GB_5 offwind-ac,off_GB_5,off_GB_5
off_GB_5 offwind-float,off_GB_5,off_GB_5
off_GB_5 offwind-dc,off_GB_5,off_GB_5
6487 offwind-ac,6487,off_GB_7
6487 offwind-float,6487,off_GB_7
6487 offwind-dc,6487,off_GB_7
off_GB_9 offwind-ac,off_GB_9,off_GB_9
off_GB_9 offwind-float,off_GB_9,off_GB_9
off_GB_9 offwind-dc,off_GB_9,off_GB_9
5889 offwind-ac,5889,off_GB_11
5889 offwind-float,5889,off_GB_11
5889 offwind-dc,5889,off_GB_11
off_GB_13 offwind-ac,off_GB_13,off_GB_13
off_GB_13 offwind-float,off_GB_13,off_GB_13
off_GB_13 offwind-dc,off_GB_13,off_GB_13
5943 offwind-ac,5943,off_GB_17
5943 offwind-float,5943,off_GB_17
5943 offwind-dc,5943,off_GB_17
6462 offwind-ac,6462,off_GB_17
6462 offwind-float,6462,off_GB_17
6469 offwind-ac,6469,off_GB_17
6469 offwind-float,6469,off_GB_17
